"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Bonehoard Dracosaur","R","M","970","1.15","877","1.13","1245","100.0%","61.0%","221","","313","","534","71.2%","707","53.2%","18.0pp"
"Palani's Hatcher","RG","R","2778","1.73","1684","1.66","4725","100.0%","61.2%","797","69.1%","1074","71.0%","1871","70.2%","2817","55.0%","15.3pp"
"Trumpeting Carnosaur","R","R","2164","1.30","1751","1.28","2566","100.0%","59.4%","440","","606","66.0%","1046","66.7%","1500","54.1%","12.7pp"
"Pugnacious Hammerskull","G","R","2708","1.64","1464","1.60","3589","100.0%","60.0%","694","70.9%","819","62.9%","1513","66.6%","2056","54.9%","11.6pp"
"Huatli, Poet of Unity","G","M","1098","1.38","812","1.33","1667","100.0%","59.0%","322","","405","","727","66.2%","931","53.1%","13.1pp"
"Magmatic Galleon","R","R","2629","1.61","1895","1.57","2073","99.4%","58.1%","335","","475","","810","64.6%","1264","54.0%","10.5pp"
"Sentinel of the Nameless City","G","R","2598","1.57","1611","1.50","2363","99.6%","60.2%","425","","553","62.2%","978","64.5%","1387","57.1%","7.4pp"
"Roaming Throne","","R","2261","1.31","1687","1.30","1279","98.8%","59.2%","224","","295","","519","64.2%","755","55.6%","8.5pp"
"The Skullspore Nexus","G","M","1240","1.55","684","1.47","1282","99.3%","61.2%","204","","327","","531","64.0%","752","59.2%","4.9pp"
"Hulking Raptor","G","R","2568","1.54","1280","1.51","3007","100.0%","58.6%","511","66.5%","719","60.5%","1230","63.0%","1764","55.6%","7.5pp"
"Ojer Kaslem, Deepest Growth","G","M","1028","1.27","726","1.20","1212","100.0%","56.4%","214","","287","","501","62.9%","702","51.7%","11.2pp"
"Intrepid Paleontologist","G","R","2859","1.75","1378","1.71","3064","100.0%","58.7%","572","65.7%","680","60.0%","1252","62.6%","1793","55.8%","6.8pp"
"Breeches, Eager Pillager","R","R","2399","1.48","1819","1.44","1541","99.7%","59.2%","277","","363","","640","62.5%","897","57.1%","5.4pp"
"Restless Ridgeline","","R","4242","2.57","1291","2.79","3241","99.4%","58.9%","613","64.9%","734","60.4%","1347","62.4%","1883","56.3%","6.1pp"
"Inti, Seneschal of the Sun","R","R","2529","1.54","1837","1.52","1844","100.0%","59.5%","338","","408","","746","62.3%","1090","57.4%","4.9pp"
"Itzquinth, Firstborn of Gishath","RG","U","18366","3.56","4496","4.05","17236","99.5%","59.0%","3056","61.6%","4110","62.3%","7166","62.0%","9973","56.7%","5.3pp"
"Geological Appraiser","R","U","15802","2.87","6606","3.23","7675","97.4%","58.3%","1316","60.6%","1789","60.4%","3105","60.5%","4541","56.8%","3.7pp"
"Belligerent Yearling","R","U","16451","3.02","5308","3.49","11485","99.8%","59.2%","2135","62.8%","2601","57.6%","4736","60.0%","6721","58.7%","1.3pp"
"Jadelight Spelunker","G","R","2838","1.75","1461","1.69","2122","99.6%","57.7%","385","","483","","868","59.7%","1237","56.3%","3.4pp"
"Thrashing Brontodon","G","U","17753","3.12","4259","3.76","10280","99.5%","58.3%","1804","59.3%","2324","59.6%","4128","59.5%","6124","57.5%","1.9pp"
"Pathfinding Axejaw","G","C","62688","4.41","10177","5.87","24120","97.2%","58.3%","4061","59.2%","5661","58.8%","9722","59.0%","14315","58.0%","1.0pp"
"Bedrock Tortoise","G","R","2893","1.76","1429","1.69","2213","99.6%","57.2%","377","","500","55.6%","877","59.0%","1326","55.8%","3.1pp"
"Abrade","R","C","40002","2.81","16888","3.25","20508","99.8%","57.7%","3657","57.6%","4799","59.9%","8456","58.9%","12047","56.9%","2.0pp"
"Scytheclaw Raptor","R","U","16287","2.92","5030","3.48","8849","99.7%","58.0%","1590","59.7%","2051","57.8%","3641","58.6%","5190","57.5%","1.2pp"
"Triumphant Chomp","R","U","18415","3.29","5588","3.93","10929","99.1%","58.2%","1815","58.1%","2627","58.8%","4442","58.5%","6484","58.0%","0.6pp"
"Poison Dart Frog","G","C","56780","3.99","10276","5.11","21689","97.1%","57.7%","3920","61.6%","4524","55.6%","8444","58.4%","13165","57.3%","1.1pp"
"Cavern Stomper","G","C","75596","5.76","8982","8.21","17555","82.0%","57.5%","2703","57.1%","4105","59.2%","6808","58.4%","10669","57.0%","1.4pp"
"Huatli's Final Strike","G","C","63359","4.49","10509","5.86","22309","95.9%","58.1%","3450","57.2%","5379","58.9%","8829","58.2%","13476","58.0%","0.3pp"
"Cenote Scout","G","U","21613","3.87","4594","4.82","7397","92.7%","57.8%","1331","62.2%","1545","54.4%","2876","58.0%","4493","57.8%","0.2pp"
"Dreadmaw's Ire","R","U","21998","3.93","6540","4.77","8698","94.5%","57.4%","1433","56.1%","2011","59.1%","3444","57.9%","5252","57.1%","0.7pp"
"Armored Kincaller","G","C","72779","5.40","10103","7.44","28403","96.1%","57.9%","4851","58.4%","6528","57.4%","11379","57.9%","16935","57.9%","-0.1pp"
"Scampering Surveyor","","U","19626","3.34","5869","4.11","3275","86.3%","57.7%","583","57.8%","707","57.9%","1290","57.8%","1973","57.7%","0.2pp"
"Saheeli's Lattice","R","U","32465","4.77","6824","6.16","10451","92.3%","57.7%","1904","59.4%","2255","56.5%","4159","57.8%","6295","57.7%","0.2pp"
"Staggering Size","G","C","89148","7.74","9997","10.85","11359","56.5%","57.3%","1780","58.5%","2527","57.2%","4307","57.8%","7051","57.1%","0.7pp"
"Colossadactyl","G","U","17227","3.08","3826","3.77","8820","99.8%","57.3%","1421","57.8%","2083","57.7%","3504","57.7%","5283","57.1%","0.7pp"
"Earthshaker Dreadmaw","G","U","17299","3.23","3700","3.84","10602","98.6%","56.9%","1716","56.9%","2511","58.1%","4227","57.6%","6298","56.4%","1.2pp"
"Malamet Battle Glyph","G","U","21063","3.75","4179","4.71","8220","96.7%","56.8%","1311","54.4%","1928","59.7%","3239","57.5%","4978","56.3%","1.2pp"
"Tendril of the Mycotyrant","G","U","23818","4.44","4260","5.61","7313","90.2%","57.5%","1318","57.8%","1599","57.2%","2917","57.5%","4359","57.4%","0.1pp"
"Panicked Altisaur","R","C","76978","5.88","9994","8.59","16249","83.8%","57.1%","2608","57.1%","3847","57.8%","6455","57.5%","9742","56.9%","0.6pp"
"Hidden Volcano","","B","73167","6.00","11580","8.50","15069","96.4%","57.1%","2671","58.4%","3469","56.6%","6140","57.4%","8883","57.0%","0.4pp"
"Etali's Favor","R","C","82257","6.48","14326","8.55","11905","65.7%","57.9%","1961","56.9%","2800","57.7%","4761","57.3%","7143","58.2%","-0.9pp"
"Enterprising Scallywag","R","U","21576","3.86","5432","4.73","4907","85.4%","56.5%","896","59.5%","991","55.2%","1887","57.2%","3012","56.0%","1.2pp"
"Ixalli's Lorekeeper","G","U","25099","4.99","3576","6.68","10527","90.2%","57.0%","1926","60.9%","2117","53.8%","4043","57.2%","6468","57.0%","0.2pp"
"Hidden Nursery","","B","72351","6.01","8891","8.61","15844","96.7%","57.1%","2866","59.0%","3575","55.6%","6441","57.1%","9351","57.1%","-0.0pp"
"Brass's Tunnel-Grinder","R","R","3588","2.16","1554","2.20","1223","86.9%","54.1%","212","","307","","519","56.6%","704","52.3%","4.4pp"
"Plundering Pirate","R","C","69091","4.85","16068","6.27","15564","88.5%","56.7%","2778","58.6%","3317","54.8%","6095","56.6%","9430","56.9%","-0.3pp"
"River Herald Guide","G","C","74485","5.57","10575","7.60","14391","79.4%","56.6%","2558","56.3%","3149","56.6%","5707","56.4%","8635","56.7%","-0.3pp"
"Volatile Wanderglyph","R","C","77861","5.65","16313","7.37","11655","75.4%","57.3%","2118","59.3%","2396","53.5%","4514","56.2%","7122","58.0%","-1.8pp"
"Rumbling Rockslide","R","C","68948","4.96","13164","6.74","17626","90.5%","56.9%","2730","54.9%","4228","56.8%","6958","56.1%","10661","57.4%","-1.3pp"
"Burning Sun Cavalry","R","C","83093","6.69","11588","9.34","25832","88.1%","57.2%","4566","57.9%","5551","54.2%","10117","55.8%","15670","58.0%","-2.2pp"
"Dinotomaton","R","C","74435","5.46","11905","7.65","17765","87.8%","56.6%","2931","55.0%","4116","56.4%","7047","55.8%","10664","57.1%","-1.3pp"
"Jade Seedstones","G","U","32117","4.95","4512","6.85","5384","70.8%","56.1%","813","53.3%","1272","57.4%","2085","55.8%","3300","56.3%","-0.5pp"
"Coati Scavenger","G","U","24162","4.45","3945","5.81","5049","80.1%","56.4%","859","54.2%","1077","56.7%","1936","55.6%","3088","56.9%","-1.3pp"
