"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Bonehoard Dracosaur","R","M","970","1.15","877","1.13","1374","100.0%","63.7%","255","","347","","602","69.9%","764","58.4%","11.6pp"
"Breeches, Eager Pillager","R","R","2399","1.48","1819","1.44","4132","100.0%","62.6%","720","70.8%","1028","67.6%","1748","68.9%","2296","57.4%","11.5pp"
"Magmatic Galleon","R","R","2629","1.61","1895","1.57","3101","99.8%","62.8%","492","","683","67.6%","1175","67.9%","1843","59.3%","8.6pp"
"Kitesail Larcenist","U","R","2795","1.72","1946","1.69","3427","100.0%","61.0%","612","68.5%","803","67.2%","1415","67.8%","1930","55.7%","12.1pp"
"Zoetic Glyph","U","U","20208","3.75","8636","3.97","17328","97.6%","62.6%","2969","67.9%","4011","66.4%","6980","67.1%","10233","59.5%","7.6pp"
"Trumpeting Carnosaur","R","R","2164","1.30","1751","1.28","2390","99.7%","61.5%","390","","567","66.3%","957","65.1%","1417","58.9%","6.2pp"
"Spyglass Siren","U","U","17780","3.19","7761","3.56","14729","99.6%","62.0%","2686","69.2%","3379","61.5%","6065","64.9%","8429","60.0%","4.9pp"
"Poetic Ingenuity","R","R","3209","2.09","1669","2.00","2875","92.4%","59.8%","496","","682","60.6%","1178","64.8%","1671","56.3%","8.5pp"
"Inti, Seneschal of the Sun","R","R","2529","1.54","1837","1.52","2914","99.5%","62.1%","541","66.9%","708","62.3%","1249","64.3%","1659","60.3%","4.0pp"
"Subterranean Schooner","U","R","2941","1.85","1989","1.80","3216","99.6%","61.1%","554","71.5%","758","59.0%","1312","64.3%","1842","58.6%","5.7pp"
"Akal Pakal, First Among Equals","U","R","3183","1.92","2115","1.89","3685","98.1%","60.2%","594","68.2%","925","61.7%","1519","64.3%","2169","57.6%","6.7pp"
"Staunch Crewmate","U","U","23134","4.26","7773","4.77","18609","98.8%","61.3%","3234","65.6%","4221","60.9%","7455","62.9%","10792","60.0%","2.9pp"
"Dire Flail","R","R","3681","2.22","2095","2.15","3625","99.3%","60.7%","582","63.2%","795","61.8%","1377","62.4%","2178","59.3%","3.1pp"
"Geological Appraiser","R","U","15802","2.87","6606","3.23","11389","97.1%","61.1%","1914","63.0%","2711","61.8%","4625","62.3%","6692","60.2%","2.1pp"
"Malcolm, Alluring Scoundrel","U","R","2686","1.64","1870","1.59","3125","100.0%","60.2%","575","68.5%","801","57.7%","1376","62.2%","1693","58.4%","3.8pp"
"Captain Storm, Cosmium Raider","UR","U","22412","4.44","7276","4.83","27436","99.5%","59.7%","4767","65.4%","6258","58.7%","11025","61.6%","15852","58.0%","3.7pp"
"Waterwind Scout","U","C","57094","4.04","20442","4.69","37831","98.8%","60.9%","6761","60.8%","8877","61.6%","15638","61.3%","22010","60.7%","0.6pp"
"Belligerent Yearling","R","U","16451","3.02","5308","3.49","5339","87.1%","60.4%","962","60.6%","1168","61.1%","2130","60.9%","3191","59.9%","1.0pp"
"Etali's Favor","R","C","82257","6.48","14326","8.55","14793","63.2%","60.7%","2485","60.7%","3371","60.6%","5856","60.7%","8882","60.7%","-0.1pp"
"Lodestone Needle","U","U","27505","4.25","8736","4.98","14652","95.2%","60.6%","2446","58.3%","3432","62.3%","5878","60.7%","8444","60.1%","0.6pp"
"The Everflowing Well","U","R","4111","2.53","1645","2.62","1858","83.0%","57.8%","337","","470","","807","60.5%","1006","55.5%","5.0pp"
"Cogwork Wrestler","U","C","84927","6.98","18368","8.74","30680","82.7%","60.4%","5150","61.5%","6785","59.1%","11935","60.1%","18318","60.4%","-0.2pp"
"Goblin Tomb Raider","R","C","80856","6.38","17699","7.96","38141","91.1%","60.2%","6803","62.8%","8323","57.6%","15126","60.0%","22541","60.3%","-0.3pp"
"The Belligerent","UR","R","4298","2.62","1943","2.62","5619","98.8%","59.1%","955","62.3%","1343","58.2%","2298","59.9%","3218","58.5%","1.4pp"
"Braided Net","U","R","4422","2.63","2053","2.69","3496","96.5%","58.0%","586","60.1%","879","59.6%","1465","59.8%","2027","56.2%","3.6pp"
"Diamond Pick-Axe","R","U","21914","4.03","5881","4.79","11010","93.9%","59.2%","1902","62.4%","2422","57.6%","4324","59.7%","6519","58.8%","1.0pp"
"Oaken Siren","U","C","71616","5.37","18614","6.63","38804","96.5%","60.3%","6897","60.8%","8483","58.3%","15380","59.4%","22860","60.8%","-1.4pp"
"Dreadmaw's Ire","R","U","21998","3.93","6540","4.77","9797","90.9%","58.8%","1651","60.0%","2224","58.9%","3875","59.4%","5852","58.4%","1.0pp"
"Unlucky Drop","U","C","91237","8.18","16587","10.54","12919","48.2%","59.9%","2025","56.7%","3034","61.1%","5059","59.4%","7778","60.2%","-0.8pp"
"Roaming Throne","","R","2261","1.31","1687","1.30","1488","98.6%","58.5%","261","","343","","604","59.3%","853","57.4%","1.8pp"
"Inverted Iceberg","U","C","76036","5.99","17720","7.56","22087","76.0%","59.6%","3749","59.0%","5034","58.9%","8783","59.0%","12895","60.0%","-1.0pp"
"Volatile Wanderglyph","R","C","77861","5.65","16313","7.37","28100","90.2%","59.4%","5056","60.9%","5927","56.7%","10983","58.7%","16796","59.9%","-1.2pp"
"Brackish Blunder","U","C","82857","6.48","16517","8.52","21345","73.1%","59.3%","3538","57.6%","4812","59.3%","8350","58.6%","12863","59.6%","-1.1pp"
"Sunshot Militia","R","C","80799","6.32","17149","8.07","24085","78.1%","59.0%","4140","57.5%","5376","59.3%","9516","58.5%","14490","59.4%","-0.9pp"
"Plundering Pirate","R","C","69091","4.85","16068","6.27","30977","95.8%","59.2%","5451","59.4%","6938","57.5%","12389","58.4%","18074","59.7%","-1.4pp"
"Abrade","R","C","40002","2.81","16888","3.25","28123","99.7%","59.0%","4847","58.7%","6644","58.1%","11491","58.3%","16483","59.4%","-1.1pp"
"Ancestors' Aid","R","C","88740","7.57","12510","10.54","9979","47.5%","59.4%","1613","57.9%","2182","58.6%","3795","58.3%","6141","60.0%","-1.7pp"
"Waylaying Pirates","U","C","84589","6.87","16393","8.99","29251","82.7%","59.1%","4699","57.2%","6744","58.6%","11443","58.1%","17231","59.7%","-1.7pp"
"Ojer Pakpatiq, Deepest Epoch","U","M","1150","1.37","871","1.31","1253","98.9%","57.9%","215","","302","","517","58.0%","734","57.2%","0.8pp"
"Sunfire Torch","R","C","80059","6.14","17467","7.81","28932","83.8%","59.0%","4877","59.2%","6487","56.8%","11364","57.8%","17072","59.6%","-1.8pp"
"Brass's Tunnel-Grinder","R","R","3588","2.16","1554","2.20","1871","87.1%","56.5%","310","","417","","727","57.8%","1114","55.7%","2.0pp"
